Position,Lat,Lon
6020S4639W,-60.20,-46.39
6037S4458W,-60.37,-44.58
6346S5959W,-63.46,-59.59
6414S6103W,-64.14,-61.03
6419S6129W,-64.19,-61.29
6307S5814W,-63.07,-58.14
6310S5813W,-63.10,-58.13
6020S4556W,-60.20,-45.56
6419S6117W,-64.19,-61.17
5358S3546W,-53.58,-35.46
6021S4602W,-60.21,-46.02
6020S4631W,-60.20,-46.31
6026S4542S,-60.26,-45.42
6312S5942W,-63.12,-59.42
6017S4636W,-60.17,-46.36
6022S46W19,-60.22,-46.W1
6010S4628W,-60.10,-46.28
6256S5846W,-62.56,-58.46
6021S4639W,-60.21,-46.39
6022S4647W,-60.22,-46.47
6019S4557W,-60.19,-45.57
6020S4624W,-60.20,-46.24
6026S4605W,-60.26,-46.05
6029S4605W,-60.29,-46.05
,-.,#VALUE!
6259S5839W,-62.59,-58.39
5402S3559W,-54.02,-35.59
5409S3536W,-54.09,-35.36
5412S3542W,-54.12,-35.42
5356S3529W,-53.56,-35.29
6021S4600W,-60.21,-46.00
6020S4503W,-60.20,-45.03
6019S4529W,-60.19,-45.29
6024S4557W,-60.24,-45.57
6026S4546W,-60.26,-45.46
6036S4511W,-60.36,-45.11
6032S4512W,-60.32,-45.12
6031S4453W,-60.31,-44.53
6030S4605W,-60.30,-46.05
5409S3617W,-54.09,-36.17
5406S3562W,-54.06,-35.62
5355S3543W,-53.55,-35.43
5350S3559W,-53.50,-35.59
6024S4604W,-60.24,-46.04
6032S4603W,-60.32,-46.03
6353S6021W,-63.53,-60.21
6429S6030W,-64.29,-60.30
6300S5748W,-63.00,-57.48
6429S6139W,-64.29,-61.39
6259S5753W,-62.59,-57.53
5410S3523W,-54.10,-35.23
5357S3541W,-53.57,-35.41
5326S3606W,-53.26,-36.06
6019S4559W,-60.19,-45.59
6030S4605W,-60.30,-46.05
6019S4623W,-60.19,-46.23
6024S4600W,-60.24,-46.00
6417S6109W,-64.17,-61.09
6416S6109W,-64.16,-61.09
6303S5817W,-63.03,-58.17
5357S3549W,-53.57,-35.49
6021S4558W,-60.21,-45.58
631000S581260W,-63.10,-58.12
5356S3551W,-53.56,-35.51
6020S4616W,-60.20,-46.16
6019S4625W,-60.19,-46.25
6416S6109W,-64.16,-61.09
6419S6129W,-64.19,-61.29
5359S3547W,-53.59,-35.47
6022S4631W,-60.22,-46.31
5353S3557W,-53.53,-35.57
6023S4603W,-60.23,-46.03
6043S4532W,-60.43,-45.32
6031S4513W,-60.31,-45.13
6025S4545W,-60.25,-45.45
6021S4609W,-60.21,-46.09
5350S3611W,-53.50,-36.11
5349S3612W,-53.49,-36.12
5358S3537W,-53.58,-35.37
5350S3549W,-53.50,-35.49
6019S4557W,-60.19,-45.57
6024S4600W,-60.24,-46.00
6028S4603W,-60.28,-46.03
6025S4555W,-60.25,-45.55
6309S5832W,-63.09,-58.32
6420S6114W,-64.20,-61.14
6020S4623W,-60.20,-46.23
6027S4557W,-60.27,-45.57
5409S3537W,-54.09,-35.37
6019S4601W,-60.19,-46.01
6035S4441W,-60.35,-44.41
6252S5727W,-62.52,-57.27
6027S4607W,-60.27,-46.07
6030S4606W,-60.30,-46.06
6421S6121W,-64.21,-61.21
6419S6114W,-64.19,-61.14
6307S5814W,-63.07,-58.14
5420S3520W,-54.20,-35.20
6024S4612W,-60.24,-46.12
6023S4615W,-60.23,-46.15
6310S5919W,-63.10,-59.19
6417S6112W,-64.17,-61.12
6414S6100W,-64.14,-61.00
5356S3547W,-53.56,-35.47
6022S4630W,-60.22,-46.30
6312S5942W,-63.12,-59.42
630410S582190W,-63.04,-58.21
631250S581150W,-63.12,-58.11
5356S3551W,-53.56,-35.51
6021S4557W,-60.21,-45.57
6020S4605W,-60.20,-46.05
6022S4609W,-60.22,-46.09
6319S5941W,-63.19,-59.41
6424S6143W,-64.24,-61.43
6300S5835W,-63.00,-58.35
6022S4607W,-60.22,-46.07
6023S4619W,-60.23,-46.19
6303S5848W,-63.03,-58.48
6308S5857W,-63.08,-58.57
6338S5943W,-63.38,-59.43
6032S4605W,-60.32,-46.05
6021S4603W,-60.21,-46.03
6022S4600W,-60.22,-46.00
6022S4616W,-60.22,-46.16
6419S6125W,-64.19,-61.25
6425S6140W,-64.25,-61.40
5350S3609W,-53.50,-36.09
5349S3619W,-53.49,-36.19
5356S3541W,-53.56,-35.41
6023S4554W,-60.23,-45.54
6021S4605W,-60.21,-46.05
6251S5740W,-62.51,-57.40
6032S4514W,-60.32,-45.14
6024S4554W,-60.24,-45.54
6418S6113W,-64.18,-61.13
6420S6126W,-64.20,-61.26
6023S4609W,-60.23,-46.09
6023S4553W,-60.23,-45.53
6429S6140W,-64.29,-61.40
6303S5756W,-63.03,-57.56
6026S4542W,-60.26,-45.42
6024S4628W,-60.24,-46.28
5410S3536W,-54.10,-35.36
6023S4549W,-60.23,-45.49
6022S4555W,-60.22,-45.55
6025S4607W,-60.25,-46.07
6022S4557W,-60.22,-45.57
6021S4604W,-60.21,-46.04
6021S4610W,-60.21,-46.10
6019S4632W,-60.19,-46.32
6026S4600W,-60.26,-46.00
6420S6116W,-64.20,-61.16
6422S6120W,-64.22,-61.20
6020S4616W,-60.20,-46.16
6023S4620W,-60.23,-46.20
6026S4603W,-60.26,-46.03
6349S6125W,-63.49,-61.25
6029S4607W,-60.29,-46.07
6027S4547W,-60.27,-45.47
6025S4605W,-60.25,-46.05
5359S3551W,-53.59,-35.51
6021S4621W,-60.21,-46.21
6018S4633W,-60.18,-46.33
6042S4531W,-60.42,-45.31
6417S6116W,-64.17,-61.16
6420S6117W,-64.20,-61.17
5351S3600W,-53.51,-36.00
5301S3541W,-53.01,-35.41
6021S4601W,-60.21,-46.01
6020S4700W,-60.20,-47.00
6027S4606W,-60.27,-46.06
6023S4623W,-60.23,-46.23
5353S3602W,-53.53,-36.02
6422S6119W,-64.22,-61.19
5405S3535W,-54.05,-35.35
5925S4500W,-59.25,-45.00
6015S4531W,-60.15,-45.31
6019S4602W,-60.19,-46.02
6351S6006W,-63.51,-60.06
6023S4638W,-60.23,-46.38
6023S4602W,-60.23,-46.02
6301S5855W,-63.01,-58.55
6303S5903W,-63.03,-59.03
5357S3539W,-53.57,-35.39
6421S6121W,-64.21,-61.21
6305S5848W,-63.05,-58.48
5351S3608W,-53.51,-36.08
5351S3611W,-53.51,-36.11
5352S3606W,-53.52,-36.06
5938S4448W,-59.38,-44.48
6025S4604W,-60.25,-46.04
6019S4624W,-60.19,-46.24
6021S4628W,-60.21,-46.28
6015S4626W,-60.15,-46.26
6414S6113W,-64.14,-61.13
6016S4546W,-60.16,-45.46
6019S4625W,-60.19,-46.25
6026S4603W,-60.26,-46.03
6025S4550W,-60.25,-45.50
6423S6109W,-64.23,-61.09
6422S6120W,-64.22,-61.20
6025S4648W,-60.25,-46.48
6019S4631W,-60.19,-46.31
6027S4549W,-60.27,-45.49
631010S595210W,-63.10,-59.52
6258S5817W,-62.58,-58.17
6026S4552W,-60.26,-45.52
6025S4605W,-60.25,-46.05
6244S5645W,-62.44,-56.45
631300S602680W,-63.13,-60.26
5353S3601W,-53.53,-36.01
,-.,#VALUE!
6024S4606W,-60.24,-46.06
6301S5841W,-63.01,-58.41
6303S5753W,-63.03,-57.53
5417S3528W,-54.17,-35.28
